year,name,location,address,city,state,country,material,size,style,image,key_name,lat,lon,geolink,visible,iframe,table,has_image,comissions,notes
1964,Cassini II,Mr. Harry Hunt,,San Francisco,CA,USA,Wood,2 Feet,solid,cassini_wood,cassini-wood,,,,,,,?,collector
2005,Colliding Galaxies,Perry Residence,,Norwalk,CT,USA,Bronze,2 Feet,topological,,colliding-galaxies,,,,,,,,collector,check the date
1991,Color Shaft,Taubman Corp.,Sunvalley Mall,Concord,CA,USA,Aluminum,30 Feet,solid,,color-shaft,37.96868,-122.06133,"http://maps.google.com/maps?hl=en&q=sunvalley+shopping+center&ie=UTF8&hq=Sun+Valley+Shopping+Center&hnear=Sun+Valley+Shopping+Center,+Concord,+Contra+Costa,+California+94520&ll=37.96763,-122.061388&spn=0.004441,0.012413&t=h&z=17",n,,,n,commission,indoors
1969,Condottieri,Oakland Museum,1000 Oak Street,Okland,CA,USA,Bronze,1 Foot,topological,,condottieri,,,,,,,,collector,"http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=128H107K40777.20309&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!3384~!9&ri=2&aspect=Browse&menu=search&ipp=20&spp=20&staffonly=&term=Perry,+Charles+O.,+1929-+,+sculptor.&index=AUTHOR&uindex=&aspect=Browse&menu=search&ri=2"
1991,Conic Madrigal,I.K.J.V.,5 Milligan St,Perth,WA,Australia,Aluminum,28 feet,planar,conic_madrigal,conic-madrigal,-31.952596,115.851057,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Milligan+Street,+Perth,+Western+Australia,+Australia&sll=-31.954074,115.857439&sspn=0.009285,0.016415&ie=UTF8&hq=&hnear=Milligan+St,+Perth+Western+Australia+6000,+Australia&ll=-31.952553,115.85131&spn=0.00058,0.001026&t=h&z=20&layer=c&cbll=-31.952634,115.851274&panoid=8xLiG38ap-1lzfFTFuWH0Q&cbp=12,264.25,,0,-2.54",y,,y,y,commission,http://www.flickr.com/photos/geoffrey-liau/4601247132/lightbox/
1999,Conquilla,Gray Residence,,Norwalk,CT,USA,Bronze,1 foot,ribbed,,conquilla,,,,,,y,y,collector,check date
1996,Conquilla,Perry Residence,,Norwalk,CT,USA,Bronze,1 foot,ribbed,ConquillaP,conquilla-perry,,,,,,y,y,collector
1966,Conquistador,Addison Gallery,,Andover,MA,USA,Bronze,2 Feet,topological,,conquistador,,,,,,,???,collector
1976,Continuum,National Air & Space Museum,"114 John St,",Washington,D.C.,USA,Bronze,16 Feet,topological,Continuum,continuum,38.887782,-77.0198,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=air+and+space+museum,+washington,+dc&sll=41.179849,-71.564823&sspn=0.005636,0.01089&ie=UTF8&hq=air+and+space+museum,&hnear=Washington,+District+of+Columbia&ll=38.887567,-77.019793&spn=0.00562,0.01089&t=h&z=17&layer=c&cbll=38.887568,-77.019905&panoid=sEx3iAI5_g9GYFWML6RGTA&cbp=12,351.23,,0,-11.92",y,,y,???,commission
1986,Continuum II,Marina Center Holdings,6 Raffles Boulevard,Singapore,,Singapore,Bronze,6 Feet,topological,TripleKnot,continuum-2,1.291195,103.857563,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Marina+Square,+6+Raffles+Boulevard,+Singapore+039594&sll=37.0625,-95.677068&sspn=36.231745,74.355469&ie=UTF8&hq=Marina+Square&hnear=Marina+Square,+6+Raffles+Blvd,+Singapore,+039594&ll=1.290658,103.858708&spn=0.001408,0.002269&t=h&z=19",n,,y,y,commission,http://www.schoppert.net/pas/record0046.html
